ScoreEval,Method,Score,BaseDep,BaseDist,EvalDate
Variogram,ScoreOptEIn,38881.507421399685,gaussian,joint,2019-12-26
Variogram,ScoreOptV,9743.265714335417,gaussian,joint,2019-12-26
Variogram,ScoreOptVIn,35584.537812708855,gaussian,joint,2019-12-26
Energy,Base,37.37110790623467,bootstrap,independent,2019-12-26
Energy,BottomUp,56.4105913585459,bootstrap,independent,2019-12-26
Energy,JPP,65.53004732657794,bootstrap,independent,2019-12-26
Energy,BTTH,70.91664092746394,bootstrap,independent,2019-12-26
Energy,OLS,37.096060031272216,bootstrap,independent,2019-12-26
Energy,WLS,46.528021820849794,bootstrap,independent,2019-12-26
Energy,MinTSam,28.95149968711212,bootstrap,independent,2019-12-26
Energy,MinTShr,30.75938845337188,bootstrap,independent,2019-12-26
Energy,ScoreOptE,18.378648283331895,bootstrap,independent,2019-12-26
Energy,ScoreOptEIn,35.0723168365494,bootstrap,independent,2019-12-26
Energy,ScoreOptV,16.62104889435695,bootstrap,independent,2019-12-26
Energy,ScoreOptVIn,34.78004578816845,bootstrap,independent,2019-12-26
Variogram,Base,38866.36298448824,bootstrap,independent,2019-12-26
Variogram,BottomUp,91797.27599162818,bootstrap,independent,2019-12-26
Variogram,JPP,60610.883471339854,bootstrap,independent,2019-12-26
Variogram,BTTH,89220.15282468735,bootstrap,independent,2019-12-26
Variogram,OLS,43160.571087479904,bootstrap,independent,2019-12-26
Variogram,WLS,60650.01933541505,bootstrap,independent,2019-12-26
Variogram,MinTSam,28515.242353233312,bootstrap,independent,2019-12-26
Variogram,MinTShr,29587.63545598563,bootstrap,independent,2019-12-26
Variogram,ScoreOptE,15492.08440851717,bootstrap,independent,2019-12-26
Variogram,ScoreOptEIn,38441.82407180787,bootstrap,independent,2019-12-26
Variogram,ScoreOptV,11054.219332749662,bootstrap,independent,2019-12-26
Variogram,ScoreOptVIn,38887.6755073612,bootstrap,independent,2019-12-26
Energy,Base,37.02980603679251,bootstrap,joint,2019-12-26
Energy,BottomUp,56.681585977472224,bootstrap,joint,2019-12-26
Energy,JPP,65.55498407176437,bootstrap,joint,2019-12-26
Energy,BTTH,71.35609702040632,bootstrap,joint,2019-12-26
Energy,OLS,35.89829674549896,bootstrap,joint,2019-12-26
Energy,WLS,44.22517332598511,bootstrap,joint,2019-12-26
Energy,MinTSam,31.737455240347852,bootstrap,joint,2019-12-26
Energy,MinTShr,31.794486171244994,bootstrap,joint,2019-12-26
Energy,ScoreOptE,17.353291636518723,bootstrap,joint,2019-12-26
Energy,ScoreOptEIn,36.575800735495854,bootstrap,joint,2019-12-26
Energy,ScoreOptV,16.2028565562435,bootstrap,joint,2019-12-26
Energy,ScoreOptVIn,33.46626232615866,bootstrap,joint,2019-12-26
Variogram,Base,39099.31208456816,bootstrap,joint,2019-12-26
Variogram,BottomUp,90495.39266278286,bootstrap,joint,2019-12-26
Variogram,JPP,60564.325400308946,bootstrap,joint,2019-12-26
Variogram,BTTH,87467.6412144011,bootstrap,joint,2019-12-26
Variogram,OLS,43392.922258176804,bootstrap,joint,2019-12-26
Variogram,WLS,60624.43977414405,bootstrap,joint,2019-12-26
Variogram,MinTSam,28799.40914195731,bootstrap,joint,2019-12-26
Variogram,MinTShr,29939.115964435037,bootstrap,joint,2019-12-26
Variogram,ScoreOptE,12895.674554438148,bootstrap,joint,2019-12-26
Variogram,ScoreOptEIn,40286.67342513476,bootstrap,joint,2019-12-26
Variogram,ScoreOptV,9733.200829324174,bootstrap,joint,2019-12-26
Variogram,ScoreOptVIn,36541.54195948104,bootstrap,joint,2019-12-26
Energy,Base,126.29058350994741,gaussian,independent,2019-12-27
Energy,BottomUp,123.57750777763343,gaussian,independent,2019-12-27
Energy,JPP,403.0112318211764,gaussian,independent,2019-12-27
Energy,BTTH,372.1940258743393,gaussian,independent,2019-12-27
Energy,OLS,97.6734096796189,gaussian,independent,2019-12-27
Energy,WLS,94.81104056562255,gaussian,independent,2019-12-27
Energy,MinTSam,79.15905219228745,gaussian,independent,2019-12-27
Energy,MinTShr,64.08979807276268,gaussian,independent,2019-12-27
Energy,ScoreOptE,21.171987402237825,gaussian,independent,2019-12-27
Energy,ScoreOptEIn,77.04531545946132,gaussian,independent,2019-12-27
Energy,ScoreOptV,33.52944572371809,gaussian,independent,2019-12-27
Energy,ScoreOptVIn,78.3953566782787,gaussian,independent,2019-12-27
Variogram,Base,676488.7487149118,gaussian,independent,2019-12-27
Variogram,BottomUp,689110.2621198755,gaussian,independent,2019-12-27
Variogram,JPP,448394.53638332617,gaussian,independent,2019-12-27
Variogram,BTTH,721965.2297482588,gaussian,independent,2019-12-27
Variogram,OLS,401557.4385588994,gaussian,independent,2019-12-27
Variogram,WLS,420159.2369107021,gaussian,independent,2019-12-27
Variogram,MinTSam,155047.3752212736,gaussian,independent,2019-12-27
Variogram,MinTShr,88157.44366934273,gaussian,independent,2019-12-27
Variogram,ScoreOptE,8244.977565159365,gaussian,independent,2019-12-27
Variogram,ScoreOptEIn,216861.5432403093,gaussian,independent,2019-12-27
Variogram,ScoreOptV,12638.900506989405,gaussian,independent,2019-12-27
Variogram,ScoreOptVIn,201334.71816511464,gaussian,independent,2019-12-27
Energy,Base,14.869536510014866,gaussian,joint,2019-12-27
Energy,BottomUp,12.976134162005858,gaussian,joint,2019-12-27
Energy,JPP,39.53623449570039,gaussian,joint,2019-12-27
Energy,BTTH,39.736555939961484,gaussian,joint,2019-12-27
Energy,OLS,13.64947750254776,gaussian,joint,2019-12-27
Energy,WLS,13.036282114390412,gaussian,joint,2019-12-27
Energy,MinTSam,18.887511640912958,gaussian,joint,2019-12-27
Energy,MinTShr,18.830468567802,gaussian,joint,2019-12-27
Energy,ScoreOptE,14.20657696799731,gaussian,joint,2019-12-27
Energy,ScoreOptEIn,14.801602893572804,gaussian,joint,2019-12-27
Energy,ScoreOptV,14.158222081033626,gaussian,joint,2019-12-27
Energy,ScoreOptVIn,15.719399046107464,gaussian,joint,2019-12-27
Variogram,Base,7557.323698376766,gaussian,joint,2019-12-27
Variogram,BottomUp,3353.8610944515194,gaussian,joint,2019-12-27
Variogram,JPP,5209.631604595681,gaussian,joint,2019-12-27
Variogram,BTTH,11669.58565556876,gaussian,joint,2019-12-27
Variogram,OLS,5857.280601291507,gaussian,joint,2019-12-27
Variogram,WLS,5215.344733790947,gaussian,joint,2019-12-27
Variogram,MinTSam,11659.723610466837,gaussian,joint,2019-12-27
Variogram,MinTShr,12604.911863715728,gaussian,joint,2019-12-27
Variogram,ScoreOptE,5727.53519179907,gaussian,joint,2019-12-27
Variogram,ScoreOptEIn,6981.514315637511,gaussian,joint,2019-12-27
Variogram,ScoreOptV,5409.128751737058,gaussian,joint,2019-12-27
Variogram,ScoreOptVIn,7838.355655627006,gaussian,joint,2019-12-27
Energy,Base,14.731817202555057,bootstrap,independent,2019-12-27
Energy,BottomUp,12.523802506935201,bootstrap,independent,2019-12-27
Energy,JPP,38.68422914606271,bootstrap,independent,2019-12-27
Energy,BTTH,40.00757889813959,bootstrap,independent,2019-12-27
Energy,OLS,12.970167525692139,bootstrap,independent,2019-12-27
Energy,WLS,12.047457276743458,bootstrap,independent,2019-12-27
Energy,MinTSam,18.42706603427793,bootstrap,independent,2019-12-27
Energy,MinTShr,18.209768734274174,bootstrap,independent,2019-12-27
Energy,ScoreOptE,14.482597011494956,bootstrap,independent,2019-12-27
Energy,ScoreOptEIn,15.466466370921404,bootstrap,independent,2019-12-27
Energy,ScoreOptV,15.603215206198312,bootstrap,independent,2019-12-27
Energy,ScoreOptVIn,15.084750187479798,bootstrap,independent,2019-12-27
Variogram,Base,7198.344082439673,bootstrap,independent,2019-12-27
Variogram,BottomUp,3122.226850695534,bootstrap,independent,2019-12-27
Variogram,JPP,4988.020828861626,bootstrap,independent,2019-12-27
Variogram,BTTH,12437.56402385676,bootstrap,independent,2019-12-27
Variogram,OLS,5752.9333446781975,bootstrap,independent,2019-12-27
Variogram,WLS,5001.281117791002,bootstrap,independent,2019-12-27
Variogram,MinTSam,11208.786496875373,bootstrap,independent,2019-12-27
Variogram,MinTShr,11919.020640519757,bootstrap,independent,2019-12-27
Variogram,ScoreOptE,6287.809291109056,bootstrap,independent,2019-12-27
Variogram,ScoreOptEIn,7888.3769048240165,bootstrap,independent,2019-12-27
Variogram,ScoreOptV,5555.776691300801,bootstrap,independent,2019-12-27
Variogram,ScoreOptVIn,7509.55571090972,bootstrap,independent,2019-12-27
Energy,Base,14.651167460841307,bootstrap,joint,2019-12-27
Energy,BottomUp,12.49872321689278,bootstrap,joint,2019-12-27
